0,0,-1
0,0,-1
-0,0,-1
-0,-0,-1
0,-0,-1
0,-0,-1
0.588,0,-0.809
0.182,0.559,-0.809
-0.476,0.345,-0.809
-0.476,-0.345,-0.809
0.182,-0.559,-0.809
0.588,-0,-0.809
0.951,0,-0.309
0.294,0.905,-0.309
-0.769,0.559,-0.309
-0.769,-0.559,-0.309
0.294,-0.905,-0.309
0.951,-0,-0.309
0.951,0,0.309
0.294,0.905,0.309
-0.769,0.559,0.309
-0.769,-0.559,0.309
0.294,-0.905,0.309
0.951,-0,0.309
0.588,0,0.809
0.182,0.559,0.809
-0.476,0.345,0.809
-0.476,-0.345,0.809
0.182,-0.559,0.809
0.588,-0,0.809
0,0,1
0,0,1
-0,0,1
-0,-0,1
0,-0,1
0,-0,1
